mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	0	0	0	0.0	0	5/8	StaffText	6/8	1	1	0								"<font size=""10""/><font face=""Sansation Regular""/><b>Andante Grazioso</b>"						
1	0	0	0	0.0	0	5/8	Dynamic	6/8	1	1	0						p								
1	0	0	0	0.0	0	5/8	StaffText	6/8	1	1	0								"<font size=""6.4""/><i>con sordini</i>"						
1	0	0	0	0.0	0	5/8	Tempo	6/8	1	1	0									𝅘𝅥.=52	78.0	𝅘𝅥.	52.0	0.0	
1	0	0	0	0.5	0	5/8	Chord	6/8	1	1	1/8			1/8	1	0									
1	0	0	0	0.0	0	5/8	Dynamic	6/8	2	1	0						p								
1	0	0	0	0.0	0	5/8	StaffText	6/8	2	1	0								"<font size=""6.4""/><i>con sordini</i>"						
1	0	0	0	0.5	0	5/8	Chord	6/8	2	1	1/8			1/8	1	1									
2	1	1/2	1/2	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	2		articStaccatoAbove							
2	1	3/2	3/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	3		articStaccatoAbove							
2	1	2	2	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	4		articStaccatoAbove							
2	1	3	3	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	5		articStaccatoAbove							
2	1	1/2	1/2	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	6		articStaccatoBelow							
2	1	3/2	3/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	7		articStaccatoBelow							
2	1	2	2	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	8		articStaccatoBelow							
2	1	3	3	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	9		articStaccatoBelow							
2	1	1/2	1/2	0.0	0	0	StaffText	6/8	3	1	0								"<font size=""6.4""/><i>con sordini</i>"						
2	1	1	1	0.0	1/8	1/8	Dynamic	6/8	3	1	0						p								
2	1	1	1	0.5	1/8	1/8	Chord	6/8	3	1	1/8			1/8	1	10		articStaccatoAbove							
2	1	3/2	3/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8			1/8	1	11		articStaccatoAbove							
2	1	5/2	5/2	0.5	1/2	1/2	Chord	6/8	3	1	1/8			1/8	1	12		articStaccatoBelow							
2	1	3	3	0.5	5/8	5/8	Chord	6/8	3	1	1/8			1/8	1	13		articStaccatoBelow							
2	1	1	1	0.0	1/8	1/8	Dynamic	6/8	4	1	0						p								
2	1	1	1	0.5	1/8	1/8	Chord	6/8	4	1	1/8			1/8	1	14		articStaccatoAbove							
2	1	3/2	3/2	0.5	1/4	1/4	Chord	6/8	4	1	1/8			1/8	1	15		articStaccatoAbove							
2	1	5/2	5/2	0.5	1/2	1/2	Chord	6/8	4	1	1/8			1/8	1	16		articStaccatoBelow							
2	1	3	3	0.5	5/8	5/8	Chord	6/8	4	1	1/8			1/8	1	17		articStaccatoBelow							
3	2	7/2	7/2	1.0	0	0	Chord	6/8	1	1	1/4			1/4	1	18		articStaccatoBelow							
3	2	9/2	9/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	19		articStaccatoBelow							
3	2	5	5	1.0	3/8	3/8	Chord	6/8	1	1	1/4			1/4	1	20		articStaccatoBelow							
3	2	6	6	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	21		articStaccatoAbove							
3	2	7/2	7/2	1.0	0	0	Chord	6/8	2	1	1/4			1/4	1	22		articStaccatoBelow							
3	2	9/2	9/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	23		articStaccatoBelow							
3	2	5	5	1.0	3/8	3/8	Chord	6/8	2	1	1/4			1/4	1	24		articStaccatoBelow							
3	2	6	6	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	25		articStaccatoBelow							
3	2	4	4	0.5	1/8	1/8	Chord	6/8	3	1	1/8			1/8	1	26									0
3	2	9/2	9/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8			1/8	1	27									
3	2	5	5	0.5	3/8	3/8	Chord	6/8	3	1	1/8			1/8	1	28									1
3	2	11/2	11/2	0.5	1/2	1/2	Chord	6/8	3	1	1/8			1/8	1	29									1
3	2	6	6	0.5	5/8	5/8	Chord	6/8	3	1	1/8			1/8	1	30									
3	2	4	4	0.5	1/8	1/8	Chord	6/8	4	1	1/8			1/8	1	31									2
3	2	9/2	9/2	0.5	1/4	1/4	Chord	6/8	4	1	1/8			1/8	1	32									
3	2	5	5	0.5	3/8	3/8	Chord	6/8	4	1	1/8			1/8	1	33									3
3	2	11/2	11/2	0.5	1/2	1/2	Chord	6/8	4	1	1/8			1/8	1	34									3
3	2	6	6	0.5	5/8	5/8	Chord	6/8	4	1	1/8			1/8	1	35									
4	3	13/2	13/2	1.0	0	0	Chord	6/8	1	1	1/4			1/4	1	36									4
4	3	15/2	15/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	37									
4	3	8	8	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	38									5
4	3	17/2	17/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	39									5
4	3	9	9	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	40									
4	3	13/2	13/2	2.0	0	0	Chord	6/8	2	1	1/2			1/2	1	41									
4	3	17/2	17/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	42									
4	3	9	9	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	43									
4	3	13/2	13/2	3.0	0	0	Chord	6/8	3	1	3/4			1/2	3/2	44									
4	3	13/2	13/2	3.0	0	0	Chord	6/8	4	1	3/4			1/2	3/2	45									
