mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	1.0		0	0	3/4	4	1	1/4		1/4	1		3	45	A2	2	6
1	1	0	0	2.0		0	0	3/4	3	1	1/2		1/2	1		7	61	C#4	4	4
1	1	0	0	2.0		0	0	3/4	2	1	1/2		1/2	1		4	64	E4	4	2
1	1	0	0	2.0		0	0	3/4	1	1	1/2		1/2	1		4	76	E5	5	0
1	1	1	1	1.0		1/4	1/4	3/4	4	1	1/4		1/4	1		7	49	C#3	3	7
1	1	2	2	1.0		1/2	1/2	3/4	4	1	1/4		1/4	1		4	52	E3	3	8
1	1	2	2	1.0		1/2	1/2	3/4	3	1	1/4		1/4	1		5	59	B3	3	5
1	1	2	2	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		2	62	D4	4	3
1	1	2	2	1.0		1/2	1/2	3/4	1	1	1/4		1/4	1		2	74	D5	5	1
2	2	3	3	2.0		0	0	3/4	4	1	1/2		1/2	1		6	54	F#3	3	18
2	2	3	3	0.5		0	0	3/4	3	1	1/8		1/8	1		5	59	B3	3	15
2	2	3	3	0.5		0	0	3/4	2	1	1/8		1/8	1		2	62	D4	4	12
2	2	3	3	0.5		0	0	3/4	1	1	1/8		1/8	1		2	74	D5	5	9
2	2	7/2	7/2	0.5		1/8	1/8	3/4	3	1	1/8		1/8	1		3	57	A3	3	16
2	2	7/2	7/2	0.5		1/8	1/8	3/4	2	1	1/8		1/8	1		7	61	C#4	4	13
2	2	7/2	7/2	0.5		1/8	1/8	3/4	1	1	1/8		1/8	1		7	73	C#5	5	10
2	2	4	4	2.0		1/4	1/4	3/4	3	1	1/2		1/2	1		3	57	A3	3	17
2	2	4	4	2.0		1/4	1/4	3/4	2	1	1/2		1/2	1		7	61	C#4	4	14
2	2	4	4	2.0		1/4	1/4	3/4	1	1	1/2		1/2	1		7	73	C#5	5	11
2	2	5	5	1.0		1/2	1/2	3/4	4	1	1/4		1/4	1		4	52	E3	3	19
3	3	6	6	1.0		0	0	3/4	4	1	1/4		1/4	1		2	50	D3	3	38
3	3	6	6	0.75		0	0	3/4	3	1	3/16		1/8	3/2		5	59	B3	3	32
3	3	6	6	0.75		0	0	3/4	2	1	3/16		1/8	3/2		2	62	D4	4	26
3	3	6	6	0.75		0	0	3/4	1	1	3/16		1/8	3/2		2	74	D5	5	20
3	3	27/4	27/4	0.25		3/16	3/16	3/4	3	1	1/16		1/16	1		7	61	C#4	4	33
3	3	27/4	27/4	0.25		3/16	3/16	3/4	2	1	1/16		1/16	1		4	64	E4	4	27
3	3	27/4	27/4	0.25		3/16	3/16	3/4	1	1	1/16		1/16	1		4	76	E5	5	21
3	3	7	7	1.0		1/4	1/4	3/4	4	1	1/4		1/4	1		5	47	B2	2	39
3	3	7	7	0.5		1/4	1/4	3/4	3	1	1/8		1/8	1		2	62	D4	4	34
3	3	7	7	0.5		1/4	1/4	3/4	2	1	1/8		1/8	1		6	66	F#4	4	28
3	3	7	7	0.5		1/4	1/4	3/4	1	1	1/8		1/8	1		6	78	F#5	5	22
3	3	31/4	31/4	0.25		7/16	7/16	3/4	3	1	1/16		1/16	1		7	61	C#4	4	35
3	3	31/4	31/4	0.25		7/16	7/16	3/4	2	1	1/16		1/16	1		4	64	E4	4	29
3	3	31/4	31/4	0.25		7/16	7/16	3/4	1	1	1/16		1/16	1		4	76	E5	5	23
3	3	8	8	1.0		1/2	1/2	3/4	4	1	1/4		1/4	1		2	50	D3	3	40
3	3	8	8	0.5		1/2	1/2	3/4	3	1	1/8		1/8	1		5	59	B3	3	36
3	3	8	8	0.5		1/2	1/2	3/4	2	1	1/8		1/8	1		2	62	D4	4	30
3	3	8	8	0.5		1/2	1/2	3/4	1	1	1/8		1/8	1		2	74	D5	5	24
3	3	35/4	35/4	0.25		11/16	11/16	3/4	3	1	1/16		1/16	1		3	57	A3	3	37
3	3	35/4	35/4	0.25		11/16	11/16	3/4	2	1	1/16		1/16	1		7	61	C#4	4	31
3	3	35/4	35/4	0.25		11/16	11/16	3/4	1	1	1/16		1/16	1		7	73	C#5	5	25
4	4	9	9	1.0		0	0	3/4	4	1	1/4		1/4	1		4	52	E3	3	47
4	4	9	9	2.0		0	0	3/4	3	1	1/2		1/2	1		3	57	A3	3	45
4	4	9	9	2.0		0	0	3/4	2	1	1/2		1/2	1		7	61	C#4	4	43
4	4	9	9	2.0		0	0	3/4	1	1	1/2		1/2	1		7	73	C#5	5	41
4	4	10	10	1.0		1/4	1/4	3/4	4	1	1/4		1/4	1		5	47	B2	2	48
4	4	11	11	1.0		1/2	1/2	3/4	4	1	1/4		1/4	1		4	40	E2	2	49
4	4	11	11	1.0		1/2	1/2	3/4	3	1	1/4		1/4	1		8	56	G#3	3	46
4	4	11	11	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		5	59	B3	3	44
4	4	11	11	1.0		1/2	1/2	3/4	1	1	1/4		1/4	1		5	71	B4	4	42
5	5	12	12	2.0		0	0	3/4	3	1	1/2		1/2	1		2	62	D4	4	54
5	5	12	12	2.0		0	0	3/4	2	1	1/2		1/2	1		6	66	F#4	4	52
5	5	12	12	2.0		0	0	3/4	1	1	1/2		1/2	1		6	78	F#5	5	50
5	5	13	13	0.75		1/4	1/4	3/4	4	1	3/16		1/8	3/2		5	47	B2	2	56
5	5	55/4	55/4	0.25		7/16	7/16	3/4	4	1	1/16		1/16	1		7	49	C#3	3	57
5	5	14	14	0.75		1/2	1/2	3/4	4	1	3/16		1/8	3/2		2	50	D3	3	58
5	5	14	14	1.0		1/2	1/2	3/4	3	1	1/4		1/4	1		7	61	C#4	4	55
5	5	14	14	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		4	64	E4	4	53
5	5	14	14	1.0		1/2	1/2	3/4	1	1	1/4		1/4	1		4	76	E5	5	51
5	5	59/4	59/4	0.25		11/16	11/16	3/4	4	1	1/16		1/16	1		4	52	E3	3	59
6	6	15	15	2.0		0	0	3/4	4	1	1/2		1/2	1		11	53	E#3	3	72
6	6	15	15	0.5		0	0	3/4	3	1	1/8		1/8	1		7	61	C#4	4	68
6	6	15	15	0.5		0	0	3/4	2	1	1/8		1/8	1		4	64	E4	4	64
6	6	15	15	0.5		0	0	3/4	1	1	1/8		1/8	1		4	76	E5	5	60
6	6	31/2	31/2	0.5		1/8	1/8	3/4	3	1	1/8		1/8	1		5	59	B3	3	69
6	6	31/2	31/2	0.5		1/8	1/8	3/4	2	1	1/8		1/8	1		2	62	D4	4	65
6	6	31/2	31/2	0.5		1/8	1/8	3/4	1	1	1/8		1/8	1		2	74	D5	5	61
6	6	16	16	1.5		1/4	1/4	3/4	3	1	3/8		1/4	3/2		5	59	B3	3	70
6	6	16	16	1.5		1/4	1/4	3/4	2	1	3/8		1/4	3/2		2	62	D4	4	66
6	6	16	16	1.5		1/4	1/4	3/4	1	1	3/8		1/4	3/2		2	74	D5	5	62
6	6	17	17	1.0		1/2	1/2	3/4	4	1	1/4		1/4	1		6	54	F#3	3	73
6	6	35/2	35/2	0.5		5/8	5/8	3/4	3	1	1/8		1/8	1		3	57	A3	3	71
6	6	35/2	35/2	0.5		5/8	5/8	3/4	2	1	1/8		1/8	1		7	61	C#4	4	67
6	6	35/2	35/2	0.5		5/8	5/8	3/4	1	1	1/8		1/8	1		7	73	C#5	5	63
7	7	18	18	0.0		0	0	3/4	1	1	0	acciaccatura	1/8	1		7	73	C#5	5	74
7	7	18	18	0.0		0	0	3/4	2	1	0	acciaccatura	1/8	1		7	61	C#4	4	80
7	7	18	18	1.0		0	0	3/4	4	1	1/4		1/4	1		2	50	D3	3	88
7	7	18	18	2.0		0	0	3/4	3	1	1/2		1/2	1		3	57	A3	3	86
7	7	18	18	1.0		0	0	3/4	2	1	1/4		1/4	1		5	59	B3	3	81
7	7	18	18	1.0		0	0	3/4	1	1	1/4		1/4	1		5	71	B4	4	75
7	7	19	19	1.0		1/4	1/4	3/4	4	1	1/4		1/4	1		5	47	B2	2	89
7	7	19	19	0.75		1/4	1/4	3/4	2	1	3/16		1/8	3/2		5	59	B3	3	82
7	7	19	19	0.75		1/4	1/4	3/4	1	1	3/16		1/8	3/2		5	71	B4	4	76
7	7	79/4	79/4	0.25		7/16	7/16	3/4	2	1	1/16		1/16	1		3	57	A3	3	83
7	7	79/4	79/4	0.25		7/16	7/16	3/4	1	1	1/16		1/16	1		3	69	A4	4	77
7	7	20	20	1.0		1/2	1/2	3/4	4	1	1/4		1/4	1		4	52	E3	3	90
7	7	20	20	1.0		1/2	1/2	3/4	3	1	1/4		1/4	1		8	56	G#3	3	87
7	7	20	20	0.75		1/2	1/2	3/4	2	1	3/16		1/8	3/2		5	59	B3	3	84
7	7	20	20	0.75		1/2	1/2	3/4	1	1	3/16		1/8	3/2		5	71	B4	4	78
7	7	83/4	83/4	0.25		11/16	11/16	3/4	2	1	1/16		1/16	1		7	61	C#4	4	85
7	7	83/4	83/4	0.25		11/16	11/16	3/4	1	1	1/16		1/16	1		7	73	C#5	5	79
8	8	21	21	1.0		0	0	3/4	4	1	1/4		1/4	1		3	57	A3	3	94
8	8	21	21	2.0		0	0	3/4	2	1	1/2		1/2	1		3	57	A3	3	92
8	8	21	21	2.0		0	0	3/4	3	1	1/2		1/2	1		3	57	A3	3	93
8	8	21	21	2.0		0	0	3/4	1	1	1/2		1/2	1		3	69	A4	4	91
8	8	22	22	1.0		1/4	1/4	3/4	4	1	1/4		1/4	1		4	52	E3	3	95
8	8	23	23	1.0		1/2	1/2	3/4	4	1	1/4		1/4	1		3	45	A2	2	96
9	9	24	24	3.0		0	0	3/4	4	1	3/4		1/2	3/2	1	4	52	E3	3	110
9	9	24	24	0.75		0	0	3/4	3	1	3/16		1/8	3/2		8	56	G#3	3	104
9	9	24	24	0.75		0	0	3/4	2	1	3/16		1/8	3/2		5	59	B3	3	98
9	9	24	24	3.0		0	0	3/4	1	1	3/4		1/2	3/2	1	4	76	E5	5	97
9	9	99/4	99/4	0.25		3/16	3/16	3/4	3	1	1/16		1/16	1		3	57	A3	3	105
